,idx,name,area,countingDirection,day,count,date_jst,week,time,is_holiday_x,0,is_holiday_y,is_edge_holiday
183,183,truck,conv_crossing_left_car,rightleft_bottomtop,2021-11-11,5,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
184,184,truck,conv_crossing_left_person,leftright_topbottom,2021-11-11,1,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
185,185,truck,conv_crossing_parking,rightleft_bottomtop,2021-11-11,2,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
186,186,truck,conv_crossing_right_car,leftright_topbottom,2021-11-11,2,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
187,187,truck,conv_crossing_right_car,rightleft_bottomtop,2021-11-11,5,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
188,188,bicycle,conv_crossing_left_car,leftright_topbottom,2021-11-11,1,2021-11-11 13:00:00,木曜,13,False,2021-11-11,False,0
189,189,bicycle,conv_crossing_left_car,rightleft_bottomtop,2021-11-11,1,2021-11-11 13:00:00,木曜,13,False,2021-11-11,False,0
190,190,bicycle,conv_crossing_left_person,rightleft_bottomtop,2021-11-11,1,2021-11-11 13:00:00,木曜,13,False,2021-11-11,False,0
191,191,bicycle,conv_crossing_right_car,leftright_topbottom,2021-11-11,1,2021-11-11 13:00:00,木曜,13,False,2021-11-11,False,0
192,192,bicycle,conv_crossing_right_car,rightleft_bottomtop,2021-11-11,2,2021-11-11 13:00:00,木曜,13,False,2021-11-11,False,0
193,193,bus,conv_crossing_far_car,leftright_topbottom,2021-11-11,13,2021-11-11 13:00:00,木曜,13,False,2021-11-11,False,0
194,194,bus,conv_crossing_far_car,rightleft_bottomtop,2021-11-11,4,2021-11-11 13:00:00,木曜,13,False,2021-11-11,False,0
195,195,bus,conv_crossing_far_person,rightleft_bottomtop,2021-11-11,2,2021-11-11 13:00:00,木曜,13,False,2021-11-11,False,0
196,196,bus,conv_crossing_left_car,leftright_topbottom,2021-11-11,10,2021-11-11 13:00:00,木曜,13,False,2021-11-11,False,0
197,197,bus,conv_crossing_left_person,rightleft_bottomtop,2021-11-11,7,2021-11-11 13:00:00,木曜,13,False,2021-11-11,False,0
